group,total_sample,sample_2018_no,sample_2017_no,two_sided_p_value,two_sided_t_statistic,two_sided_CI,Act_per_2018_Mean,Act_per_2017_Mean,two_sided_des,greater_p_value,greater_t_statistic,greater_CI,premium_2018_Mean,premium_2017_Mean,greater_des,y_2017,y_2018,y_score,not_equal_sig,greater_sig
19-27,2906,1731,1175,0.0,17.28,"(1.676281582804819, 2.1054524645078736)",6.83,4.94,Two-Sample Welch's t-test,0.0,11.25,"(inf, 2695.6467272280797)",6813.5,4518.07,Two-Sample Welch's t-test,7.685979032959803,10.188829278068939,2.5028502451091352,True,True
1-18,2516,1487,1029,0.0,13.04,"(1.1767590151588294, 1.593394420967691)",6.58,5.2,Two-Sample Welch's t-test,0.0,8.86,"(inf, 1781.4042433548577)",5863.68,4404.99,Two-Sample Welch's t-test,4.566649473965299,7.733747538802736,3.167098064837438,True,True
53+,2121,1012,1109,0.0,21.05,"(3.237787875657731, 3.9033070446800933)",10.88,7.31,Two-Sample Welch's t-test,0.0,14.08,"(inf, 10993.770698056174)",19491.96,9842.82,Two-Sample Welch's t-test,6.543891289060593,6.680796100192082,0.13690481113148995,True,True
46-52,1693,923,770,0.0,16.88,"(2.6510192129338486, 3.3482050279086724)",10.58,7.58,Two-Sample Welch's t-test,0.0,14.41,"(inf, 9190.824224844377)",15163.86,7074.22,Two-Sample Welch's t-test,3.6161058982464396,5.907010475588327,2.2909045773418866,True,True
39-45,1475,862,613,0.0,16.46,"(2.469288988758815, 3.1377993056042017)",10.54,7.74,Two-Sample Welch's t-test,0.0,13.75,"(inf, 7263.269103153797)",13366.5,7010.22,Two-Sample Welch's t-test,2.6823964546461134,4.764705785537323,2.0823093308912095,True,True
28-38,1273,909,364,0.0,11.23,"(1.6784298437638043, 2.389107843745758)",9.23,7.19,Two-Sample Welch's t-test,0.0,9.51,"(inf, 4848.301281977558)",10958.95,6939.64,Two-Sample Welch's t-test,1.920436966618726,5.3642195921404845,3.443782625521759,True,True
M,6789,3821,2968,0.0,27.77,"(2.190015382229122, 2.5226926507227123)",8.48,6.12,Two-Sample Welch's t-test,0.0,17.47,"(inf, 4411.94897221684)",10357.97,6391.2,Two-Sample Welch's t-test,5.126236224412776,7.000821407835332,1.8745851834225564,True,True
F,5195,3103,2092,0.0,20.64,"(1.8302018924536152, 2.2144546331792996)",8.85,6.83,Two-Sample Welch's t-test,0.0,18.1,"(inf, 5460.852849834282)",11647.24,6720.13,Two-Sample Welch's t-test,3.4502122616201274,5.80213508900862,2.3519228273884925,True,True
01 Single,5973,3679,2294,0.0,23.24,"(1.720006554769901, 2.036871100027458)",7.5,5.62,Two-Sample Welch's t-test,0.0,16.45,"(inf, 3367.0781141550447)",7992.36,4983.9,Two-Sample Welch's t-test,4.075853199226072,7.128535929178555,3.0526827299524837,True,True
02 Maried,3775,1959,1816,0.0,27.28,"(2.932894804102201, 3.387203015299015)",10.64,7.48,Two-Sample Welch's t-test,0.0,17.63,"(inf, 7438.018223743693)",14534.37,7840.97,Two-Sample Welch's t-test,4.969120054027944,6.384076277099236,1.4149562230712918,True,True
00 NA,2069,1195,874,0.0,14.61,"(2.1632882123623633, 2.8342966583245723)",8.69,6.2,Two-Sample Welch's t-test,0.0,12.41,"(inf, 7036.346206939188)",13770.65,7694.29,Two-Sample Welch's t-test,3.419188632588531,5.344442311876446,1.9252536792879151,True,True
04 Divorce,87,43,44,0.0,5.38,"(2.537505051489651, 5.550547034265838)",11.21,7.17,Two-Sample Welch's t-test,0.0,4.5,"(inf, 11495.314391458787)",14503.51,6559.2,Two-Sample Welch's t-test,4.050396387434613,5.526815981294729,1.4764195938601157,True,True
03 Widow,80,48,32,0.0,5.29,"(2.3804662210542373, 5.277333457120613)",11.37,7.55,Two-Sample Welch's t-test,0.021,2.07,"(inf, 10231.466962324743)",15892.9,10684.56,Two-Sample Welch's t-test,5.147567278908789,7.225481814656668,2.0779145357478783,True,True
"1-60,000",3381,1857,1524,0.0,16.24,"(1.7850825800976564, 2.27545771196165)",8.87,6.84,Two-Sample Welch's t-test,0.0,16.14,"(inf, 1163.6907395318883)",4417.85,3380.2,Two-Sample Welch's t-test,14.34627301365039,11.965139651950443,-2.381133361699947,True,True
"60,001-88,000",3035,1526,1509,0.0,28.44,"(3.4492947108962313, 3.9602701609920437)",10.11,6.41,Two-Sample Welch's t-test,0.0,28.39,"(inf, 2878.343372440529)",7293.79,4601.42,Two-Sample Welch's t-test,12.866207360484927,10.52637776023853,-2.3398296002463974,True,True
"88,001-130,0000",2031,1150,881,0.0,14.37,"(1.6926838658809804, 2.227614387414048)",8.77,6.81,Two-Sample Welch's t-test,0.0,14.45,"(inf, 2418.900619867028)",9331.15,7201.33,Two-Sample Welch's t-test,7.655937813594884,8.260845951687276,0.6049081380923929,True,True
"130,000-190,000",1518,975,543,0.0,10.78,"(1.5097688218072673, 2.1817707613114297)",7.68,5.83,Two-Sample Welch's t-test,0.0,11.07,"(inf, 3526.902917850034)",12069.65,9073.71,Two-Sample Welch's t-test,4.610459780657719,6.898081586874509,2.28762180621679,True,True
"190,001-300,0000",1189,812,377,0.0,10.85,"(1.907987700726409, 2.7503335475967745)",7.5,5.17,Two-Sample Welch's t-test,0.0,10.16,"(inf, 6356.743378664927)",17535.58,12207.66,Two-Sample Welch's t-test,2.8810414076557946,5.854063657916964,2.973022250261169,True,True
"300,001+",830,604,226,0.0,5.76,"(1.056150833127187, 2.1491455357792746)",7.11,5.51,Two-Sample Welch's t-test,0.0,6.67,"(inf, 13131.400942760429)",32528.61,22384.67,Two-Sample Welch's t-test,1.4960477895910063,4.1785104220038445,2.682462632412838,True,True
A1,4956,2308,2648,0.007,2.71,"(0.05664247688679383, 0.354495549108813)",7.29,7.09,Two-Sample Welch's t-test,0.0,11.37,"(inf, 1917.219299464507)",7427.86,5792.67,Two-Sample Welch's t-test,7.6120858425326965,7.05641924848425,-0.5556665940484471,True,True
E1,4310,2951,1359,0.0,45.54,"(3.965813005420843, 4.322647549217836)",8.14,4.0,Two-Sample Welch's t-test,0.0,28.59,"(inf, 9814.911033826284)",12417.34,3232.44,Two-Sample Welch's t-test,1.4054539150298802,7.533744887732813,6.128290972702932,True,True
A2,1349,985,364,0.0,33.26,"(5.632385499085986, 6.338556027544801)",13.91,7.92,Two-Sample Welch's t-test,0.832,-0.96,"(inf, 513.8905177972397)",13697.21,14191.28,Two-Sample Welch's t-test,3.0648229522421597,3.708850398635958,0.644027446393798,True,False
