group,total_sample,sample_2018_no,sample_2017_no,two_sided_p_value,two_sided_t_statistic,two_sided_CI,Act_per_2018_Mean,Act_per_2017_Mean,two_sided_des,greater_p_value,greater_t_statistic,greater_CI,premium_2018_Mean,premium_2017_Mean,greater_des,y_2017,y_2018,y_score,not_equal_sig,greater_sig
"28-38_1-60,000",352,226,126,0.0,5.69,"(1.183335720989325, 2.43658535589997)",10.25,8.44,Two-Sample Welch's t-test,0.0,5.47,"(inf, 1294.9227450543237)",4982.36,4030.11,Two-Sample Welch's t-test,7.44422882932621,9.674890765740898,2.230661936414688,True,True
"19-27_88,001-130,0000",332,182,150,0.0,5.58,"(1.2422536859496036, 2.5935734638687533)",6.69,4.77,Two-Sample Welch's t-test,0.0,5.01,"(inf, 2727.2869700105466)",7223.08,5265.3,Two-Sample Welch's t-test,9.017854849068723,9.205385339489023,0.18753049042030123,True,True
"53+_300,001+",324,223,101,0.0,4.31,"(0.8923350112036522, 2.3939679008080788)",8.64,7.0,Two-Sample Welch's t-test,0.0,4.56,"(inf, 17101.43831624966)",39289.63,27340.74,Two-Sample Welch's t-test,2.9307847269862135,5.765373065088056,2.834588338101843,True,True
"39-45_88,001-130,0000",319,189,130,0.0,6.78,"(1.3544914676536524, 2.462662107855566)",9.17,7.26,Two-Sample Welch's t-test,0.0,7.0,"(inf, 2785.698637590426)",9677.97,7503.69,Two-Sample Welch's t-test,6.505195794069621,7.77914447217716,1.2739486781075393,True,True
"19-27_130,000-190,000",317,214,103,0.0,5.71,"(1.2905537910670377, 2.648140601382466)",6.2,4.23,Two-Sample Welch's t-test,0.0,5.67,"(inf, 4089.4965009550488)",9545.85,6510.29,Two-Sample Welch's t-test,5.778667121679826,9.473150870894049,3.694483749214224,True,True
"28-38_60,001-88,000",306,219,87,0.0,13.62,"(3.2226714324900714, 4.3116421449817635)",10.35,6.59,Two-Sample Welch's t-test,0.0,13.75,"(inf, 3109.0976837578783)",7447.94,4728.28,Two-Sample Welch's t-test,4.543482506001868,10.54852833679465,6.005045830792781,True,True
"53+_190,001-300,0000",298,168,130,0.0,5.73,"(1.5583479147445125, 3.190118704186732)",8.52,6.14,Two-Sample Welch's t-test,0.0,5.25,"(inf, 7482.550628912717)",20476.12,15034.65,Two-Sample Welch's t-test,6.959164369322258,7.017291232062401,0.058126862740143226,True,True
"1-18_88,001-130,0000",273,178,95,0.0,7.28,"(1.610374973230448, 2.805815060577167)",6.32,4.11,Two-Sample Welch's t-test,0.0,7.18,"(inf, 3184.708225828695)",6950.06,4451.37,Two-Sample Welch's t-test,3.31300311416652,8.135528349663772,4.822525235497253,True,True
"1-18_130,000-190,000",268,174,94,0.0,5.48,"(0.9917003308092971, 2.104854626707854)",5.67,4.12,Two-Sample Welch's t-test,0.0,4.82,"(inf, 3194.6743157128576)",8997.93,6730.85,Two-Sample Welch's t-test,3.668464080709689,8.119082363849643,4.450618283139953,True,True
"39-45_1-60,000",255,115,140,0.0,11.31,"(4.660667551573327, 6.639689244922258)",14.45,8.8,Two-Sample Welch's t-test,0.0,11.86,"(inf, 3437.1140181169853)",7392.34,4447.14,Two-Sample Welch's t-test,13.33608365961328,9.404031574538863,-3.9320520850744165,True,True
