group,total_sample,sample_2018_no,sample_2017_no,two_sided_p_value,two_sided_t_statistic,two_sided_CI,Act_per_2018_Mean,Act_per_2017_Mean,two_sided_des,greater_p_value,greater_t_statistic,greater_CI,premium_2018_Mean,premium_2017_Mean,greater_des,y_2017,y_2018,y_score,not_equal_sig,greater_sig
19-27_M_01 Single,1460,832,628,0.0,13.91,"(1.8352008800939106, 2.4378267122954402)",7.09,4.95,Two-Sample Welch's t-test,0.0,9.94,"(inf, 2944.805813398273)",6230.61,3771.11,Two-Sample Welch's t-test,9.224410766837131,12.08843469693757,2.864023930100437,True,True
1-18_M_01 Single,1374,775,599,0.0,10.35,"(1.1735879756830743, 1.7222255689723935)",6.6,5.15,Two-Sample Welch's t-test,0.0,5.53,"(inf, 1661.3880109650672)",5620.45,4393.87,Two-Sample Welch's t-test,6.007326759791838,8.375404719414664,2.368077959622826,True,True
1-18_F_01 Single,966,609,357,0.0,6.64,"(0.8293691792362259, 1.5260379823423802)",6.73,5.55,Two-Sample Welch's t-test,0.0,6.03,"(inf, 2015.650996282205)",5719.58,4198.99,Two-Sample Welch's t-test,3.765752811427486,7.491879482093565,3.7261266706660785,True,True
19-27_F_01 Single,820,545,275,0.0,6.91,"(1.0310190473655059, 1.8491278171061936)",6.94,5.5,Two-Sample Welch's t-test,0.0,3.95,"(inf, 2489.082200733588)",6628.08,4964.8,Two-Sample Welch's t-test,6.3908176975323485,10.42610081817245,4.035283120640103,True,True
53+_M_02 Maried,751,349,402,0.0,12.95,"(2.9770148734358473, 4.042221549962144)",10.58,7.07,Two-Sample Welch's t-test,0.0,8.65,"(inf, 9406.036426755942)",17740.93,10075.19,Two-Sample Welch's t-test,9.213313980240665,7.864502131026285,-1.3488118492143792,True,True
53+_F_02 Maried,624,283,341,0.0,12.16,"(3.334384840294123, 4.621882311534756)",11.45,7.47,Two-Sample Welch's t-test,0.0,6.88,"(inf, 13465.85408915753)",19055.25,8583.36,Two-Sample Welch's t-test,6.88260493543154,6.959430433564953,0.0768254981334135,True,True
46-52_M_02 Maried,601,320,281,0.0,10.26,"(2.351517571547053, 3.4660666962647766)",10.39,7.49,Two-Sample Welch's t-test,0.0,6.91,"(inf, 8456.5336594627)",13798.75,7216.58,Two-Sample Welch's t-test,4.767238222856958,6.731409416529849,1.964171193672891,True,True
39-45_M_02 Maried,491,256,235,0.0,10.25,"(2.3649287881329824, 3.488457388615076)",10.66,7.73,Two-Sample Welch's t-test,0.0,7.56,"(inf, 7874.011658606515)",12961.71,6714.12,Two-Sample Welch's t-test,3.7767469649093033,5.375737027587849,1.5989900626785458,True,True
46-52_F_02 Maried,436,221,215,0.0,10.81,"(2.9895896153592516, 4.321533254822262)",11.51,7.85,Two-Sample Welch's t-test,0.0,9.48,"(inf, 10258.639257448298)",14961.26,6466.02,Two-Sample Welch's t-test,3.773811241111682,5.7797629373500055,2.0059516962383235,True,True
39-45_F_02 Maried,373,211,162,0.0,9.29,"(2.3960301920960116, 3.683927825850743)",10.88,7.84,Two-Sample Welch's t-test,0.0,6.87,"(inf, 6975.430556032337)",11962.59,6539.3,Two-Sample Welch's t-test,2.946993141587541,4.751820435790859,1.8048272942033174,True,True
